week,trend
2015-01-04,53
2015-01-11,41
2015-01-18,55
2015-01-25,50
2015-02-01,41
2015-02-08,39
2015-02-15,36
2015-02-22,38
2015-03-01,43
2015-03-08,49
2015-03-15,44
2015-03-22,57
2015-03-29,47
2015-04-05,42
2015-04-12,59
2015-04-19,60
2015-04-26,52
2015-05-03,61
2015-05-10,53
2015-05-17,55
2015-05-24,67
2015-05-31,57
2015-06-07,35
2015-06-14,53
2015-06-21,49
2015-06-28,67
2015-07-05,60
2015-07-12,48
2015-07-19,48
2015-07-26,50
2015-08-02,54
2015-08-09,54
2015-08-16,46
2015-08-23,45
2015-08-30,42
2015-09-06,49
2015-09-13,61
2015-09-20,32
2015-09-27,43
2015-10-04,50
2015-10-11,44
2015-10-18,49
2015-10-25,42
2015-11-01,54
2015-11-08,50
2015-11-15,43
2015-11-22,38
2015-11-29,55
2015-12-06,62
2015-12-13,74
2015-12-20,78
2015-12-27,65
2016-01-03,65
2016-01-10,65
2016-01-17,46
2016-01-24,46
2016-01-31,65
2016-02-07,58
2016-02-14,46
2016-02-21,49
2016-02-28,57
2016-03-06,53
2016-03-13,48
2016-03-20,53
2016-03-27,52
2016-04-03,59
2016-04-10,46
2016-04-17,47
2016-04-24,42
2016-05-01,52
2016-05-08,55
2016-05-15,53
2016-05-22,62
2016-05-29,58
2016-06-05,64
2016-06-12,70
2016-06-19,61
2016-06-26,63
2016-07-03,23
2016-07-10,63
2016-07-17,50
2016-07-24,62
2016-07-31,54
2016-08-07,58
2016-08-14,68
2016-08-21,48
2016-08-28,51
2016-09-04,46
2016-09-11,13
2016-09-18,51
2016-09-25,56
2016-10-02,71
2016-10-09,65
2016-10-16,69
2016-10-23,55
2016-10-30,63
2016-11-06,56
2016-11-13,65
2016-11-20,75
2016-11-27,69
2016-12-04,100
2016-12-11,70
2016-12-18,61
2016-12-25,68
2017-01-01,60
2017-01-08,42
2017-01-15,42
2017-01-22,54
2017-01-29,55
2017-02-05,52
2017-02-12,51
2017-02-19,40
2017-02-26,64
2017-03-05,44
2017-03-12,50
2017-03-19,59
2017-03-26,52
2017-04-02,56
2017-04-09,60
2017-04-16,64
2017-04-23,48
2017-04-30,59
2017-05-07,55
2017-05-14,56
2017-05-21,65
2017-05-28,57
2017-06-04,61
2017-06-11,57
2017-06-18,58
2017-06-25,42
2017-07-02,88
2017-07-09,70
2017-07-16,72
2017-07-23,79
2017-07-30,64
2017-08-06,65
2017-08-13,75
2017-08-20,79
2017-08-27,33
2017-09-03,69
2017-09-10,73
2017-09-17,61
2017-09-24,74
2017-10-01,66
2017-10-08,52
2017-10-15,67
2017-10-22,60
2017-10-29,45
2017-11-05,56
2017-11-12,50
2017-11-19,69
2017-11-26,60
2017-12-03,47
2017-12-10,69
2017-12-17,68
2017-12-24,71
2017-12-31,61
2018-01-07,56
2018-01-14,54
2018-01-21,51
2018-01-28,58
2018-02-04,55
2018-02-11,45
2018-02-18,48
2018-02-25,42
2018-03-04,49
2018-03-11,48
2018-03-18,41
2018-03-25,38
2018-04-01,42
2018-04-08,38
2018-04-15,34
2018-04-22,33
2018-04-29,28
2018-05-06,28
2018-05-13,24
2018-05-20,25
2018-05-27,27
2018-06-03,34
2018-06-10,27
2018-06-17,33
2018-06-24,27
2018-07-01,28
2018-07-08,37
2018-07-15,25
2018-07-22,33
2018-07-29,30
2018-08-05,19
2018-08-12,29
2018-08-19,9
2018-08-26,33
2018-09-02,34
2018-09-09,25
2018-09-16,27
2018-09-23,24
2018-09-30,31
2018-10-07,23
2018-10-14,24
2018-10-21,19
2018-10-28,22
2018-11-04,18
2018-11-11,24
2018-11-18,26
2018-11-25,23
2018-12-02,27
2018-12-09,29
2018-12-16,22
2018-12-23,28
2018-12-30,19
2019-01-06,20
2019-01-13,35
2019-01-20,24
2019-01-27,22
2019-02-03,23
2019-02-10,19
2019-02-17,21
2019-02-24,16
2019-03-03,22
2019-03-10,16
2019-03-17,23
2019-03-24,27
2019-03-31,16
2019-04-07,17
2019-04-14,21
2019-04-21,21
2019-04-28,12
2019-05-05,17
2019-05-12,15
2019-05-19,21
2019-05-26,18
2019-06-02,8
2019-06-09,25
2019-06-16,21
2019-06-23,28
2019-06-30,24
2019-07-07,31
2019-07-14,16
2019-07-21,26
2019-07-28,24
2019-08-04,18
2019-08-11,10
2019-08-18,21
2019-08-25,16
2019-09-01,19
2019-09-08,23
2019-09-15,17
2019-09-22,20
2019-09-29,18
2019-10-06,19
2019-10-13,22
2019-10-20,25
2019-10-27,16
2019-11-03,25
2019-11-10,21
2019-11-17,21
2019-11-24,15
2019-12-01,23
2019-12-08,21
2019-12-15,25
2019-12-22,21
2019-12-29,15
